Order Date,Ship Date,Ship Mode,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,year,month
2012-09-17,2012-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2,0.7,-7.0532,2012,September
2012-09-17,2012-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,0.2,15.525,2012,September
2012-09-17,2012-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2,0.2,1.1016,2012,September
2012-09-17,2012-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,2012,September
2012-09-17,2012-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,2012,September
2012-09-17,2012-09-21,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,2012,September
2014-10-20,2014-10-24,Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,Staples,29.472,3,0.2,9.9468,2014,October
2013-12-09,2013-12-11,First Class,Corporate,United States,Richardson,Texas,Central,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,2013,December
2013-12-09,2013-12-11,First Class,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,2013,December
2012-12-27,2012-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,2012,December
2012-12-27,2012-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,2012,December
2012-12-27,2012-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,2012,December
2012-12-27,2012-12-31,Standard Class,Home Office,United States,Houston,Texas,Central,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,2012,December
2014-09-11,2014-09-16,Standard Class,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,2014,September
2013-07-18,2013-07-23,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0.0,3.894,2013,July
2014-09-20,2014-09-24,Standard Class,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,2014,September
2013-03-12,2013-03-14,First Class,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0.0,19.7714,2013,March
2013-03-12,2013-03-14,First Class,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0.0,8.2062,2013,March
2011-10-20,2011-10-25,Second Class,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.4784,2011,October
2013-06-21,2013-06-26,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,0.0,4.95,2013,June
2013-06-21,2013-06-26,Standard Class,Consumer,United States,Dover,Delaware,East,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0.0,6.104,2013,June
2012-04-18,2012-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0.0,17.9634,2012,April
2012-04-18,2012-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,Avery 485,75.18,6,0.0,35.3346,2012,April
2012-04-18,2012-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0.0,2.9568,2012,April
2012-04-18,2012-04-22,Standard Class,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0.0,17.0981,2012,April
2013-12-12,2013-12-18,Standard Class,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0.0,6.2566,2013,December
2013-12-12,2013-12-18,Standard Class,Corporate,United States,New York City,New York,East,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0.0,298.6855,2013,December
2013-06-18,2013-06-19,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0.0,52.14,2013,June
2013-06-18,2013-06-19,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,Xerox 232,32.4,5,0.0,15.552,2013,June
2013-06-18,2013-06-19,First Class,Consumer,United States,Troy,New York,East,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,2013,June
2013-06-18,2013-06-19,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0.0,6.9888,2013,June
2013-06-18,2013-06-19,First Class,Consumer,United States,Troy,New York,East,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,0.0,3.3,2013,June
2013-06-18,2013-06-19,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,2013,June
2013-06-18,2013-06-19,First Class,Consumer,United States,Troy,New York,East,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0.0,0.84,2013,June
2012-11-24,2012-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0.0,6.1512,2012,November
2012-11-24,2012-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,2012,November
2012-11-24,2012-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1943,146.73,3,0.0,68.9631,2012,November
2012-11-24,2012-11-30,Standard Class,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0.0,22.3328,2012,November
2012-04-30,2012-05-05,Standard Class,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,2012,April
2011-12-05,2011-12-10,Standard Class,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,2011,December
2011-12-05,2011-12-10,Standard Class,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,2011,December
2013-06-05,2013-06-07,First Class,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0.0,35.6636,2013,June
2013-09-19,2013-09-24,Standard Class,Consumer,United States,New York City,New York,East,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,2013,September
2014-09-15,2014-09-18,Second Class,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763,2014,September
2012-04-26,2012-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,2012,April
2012-04-26,2012-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,2012,April
2012-04-26,2012-05-02,Standard Class,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,2012,April
2014-12-10,2014-12-12,First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,2014,December
2014-12-10,2014-12-12,First Class,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,2014,December
2014-12-10,2014-12-12,First Class,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,2014,December
2011-11-26,2011-12-01,Second Class,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,2011,November
2013-06-13,2013-06-16,First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0.0,56.2032,2013,June
2013-06-13,2013-06-16,First Class,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0.0,8.0352,2013,June
2011-10-12,2011-10-16,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.172,2011,October
2011-10-12,2011-10-16,Standard Class,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2031,2011,October
2012-09-03,2012-09-08,Standard Class,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,2012,September
2014-11-14,2014-11-17,First Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,2014,November
2014-05-29,2014-05-31,Second Class,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0.0,33.2156,2014,May
2014-10-27,2014-11-03,Standard Class,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0.0,6.7966,2014,October
2014-10-27,2014-11-03,Standard Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,Avery 511,6.16,2,0.0,2.9568,2014,October
2013-04-06,2013-04-11,Second Class,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,2013,April
2013-09-18,2013-09-23,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0.0,6.633,2013,September
2013-09-18,2013-09-23,Standard Class,Corporate,United States,Los Angeles,California,West,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,2013,September
2013-09-18,2013-09-23,Standard Class,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,Xerox 1995,6.48,1,0.0,3.1104,2013,September
2012-01-31,2012-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,Xerox 1999,12.96,2,0.0,6.2208,2012,January
2012-01-31,2012-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,3,0.0,16.5354,2012,January
2012-01-31,2012-02-05,Second Class,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,2,0.0,16.1504,2012,January
2014-11-07,2014-11-13,Standard Class,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1,0.7,-3.788,2014,November
2014-11-10,2014-11-12,Second Class,Home Office,United States,New York City,New York,East,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,7,0.0,40.5426,2014,November
2014-06-18,2014-06-21,First Class,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3,0.2,17.9592,2014,June
2013-09-07,2013-09-12,Standard Class,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6,0.0,22.5852,2013,September
2013-08-30,2013-09-03,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,7,0.2,22.6184,2013,August
2013-08-30,2013-09-03,Standard Class,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,3,0.2,-10.7973,2013,August
2013-08-30,2013-09-03,Standard Class,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3,0.8,-3.0396,2013,August
2013-12-02,2013-12-05,Second Class,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4,0.0,11.7208,2013,December
2012-11-13,2012-11-17,Standard Class,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,6,0.2,-26.8758,2012,November
2012-11-13,2012-11-17,Standard Class,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,0.2,-3.8385,2012,November
2012-11-13,2012-11-17,Standard Class,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,0.7,-25.8174,2012,November
2014-11-24,2014-11-29,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,8,0.2,17.6016,2014,November
2014-11-24,2014-11-29,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,Speck Products Candyshell Flip Case,27.992,1,0.2,2.0994,2014,November
2014-11-24,2014-11-29,Standard Class,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,Newell Chalk Holder,3.304,1,0.2,1.0738,2014,November
2012-10-15,2012-10-20,Standard Class,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,5,0.2,67.992,2012,October
2014-12-26,2014-12-31,Standard Class,Corporate,United States,New York City,New York,East,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2,0.0,10.9096,2014,December
2013-11-04,2013-11-11,Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,0.0,22.788,2013,November
2013-11-04,2013-11-11,Standard Class,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,6,0.0,13.3476,2013,November
2011-08-25,2011-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14,0.2,14.5348,2011,August
2011-08-25,2011-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652,2011,August
2011-08-25,2011-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1921,23.976,3,0.2,7.4925,2011,August
2011-08-25,2011-08-27,Second Class,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,0.2,44.0316,2011,August
2012-03-02,2012-03-06,Standard Class,Consumer,United States,Seattle,Washington,West,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3,0.0,165.3813,2012,March
2012-04-05,2012-04-10,Standard Class,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1,0.7,-115.7156,2012,April
2013-06-13,2013-06-16,First Class,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,Artistic Insta-Plaque,47.04,3,0.0,18.3456,2013,June
2013-06-13,2013-06-16,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,4,0.0,13.878,2013,June
2013-06-13,2013-06-16,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,6,0.0,63.4368,2013,June
2013-06-13,2013-06-16,First Class,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,9,0.0,51.759,2013,June
2013-06-13,2013-06-16,First Class,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,7,0.0,19.7316,2013,June
2011-12-26,2011-12-28,Second Class,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3,0.3,-8.5794,2011,December
2011-09-20,2011-09-25,Standard Class,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.682,2011,September
2014-11-06,2014-11-13,Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,2,0.7,-1.8308,2014,November
2014-11-06,2014-11-13,Standard Class,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,0.2,30.499,2014,November
2013-11-07,2013-11-11,Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,"Global Task Chair, Black",81.424,2,0.2,-9.1602,2013,November
2013-11-07,2013-11-11,Second Class,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,3,0.0,26.2416,2013,November
2014-02-03,2014-02-06,First Class,Corporate,United States,Columbus,Ohio,East,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5,0.4,-11.994,2014,February
2014-02-03,2014-02-06,First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,Xerox 1916,78.304,2,0.2,29.364,2014,February
2014-02-03,2014-02-06,First Class,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,Staples,21.456,9,0.2,6.9732,2014,February
2013-10-14,2013-10-20,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 195,20.04,3,0.0,9.6192,2013,October
2013-10-14,2013-10-20,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Paper,Xerox 1880,35.44,1,0.0,16.6568,2013,October
2013-10-14,2013-10-20,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,4,0.0,3.456,2013,October
2013-10-14,2013-10-20,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,Ideal Clamps,4.02,2,0.0,1.9698,2013,October
2013-10-14,2013-10-20,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3,0.2,26.6616,2013,October
2013-10-14,2013-10-20,Standard Class,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,6,0.0,18.4464,2013,October
2013-10-14,2013-10-20,Standard Class,Consumer,United States,Roseville,California,West,Furniture,Furnishings,Longer-Life Soft White Bulbs,43.12,14,0.0,20.6976,2013,October
2013-09-06,2013-09-08,Second Class,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,0.2,10.35,2013,September
2014-09-19,2014-09-24,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Art,Newell 343,8.82,3,0.0,2.3814,2014,September
2014-09-19,2014-09-24,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,Convenience Packs of Business Envelopes,10.86,3,0.0,5.1042,2014,September
2014-09-19,2014-09-24,Standard Class,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,Xerox 1911,143.7,3,0.0,68.976,2014,September
2014-12-23,2014-12-28,Standard Class,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,839.43,3,0.0,218.2518,2014,December
2012-09-07,2012-09-12,Standard Class,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,Safco Industrial Wire Shelving,671.93,7,0.0,20.1579,2012,September
2011-10-22,2011-10-28,Standard Class,Home Office,United States,Newark,Ohio,East,Furniture,Furnishings,"Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,0.2,12.9096,2011,October
2013-12-06,2013-12-10,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,Plantronics Cordless Phone Headset with In-line Volume - M214C,384.45,11,0.0,103.8015,2013,December
2013-12-06,2013-12-10,Standard Class,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,Anker Astro 15000mAh USB Portable Charger,149.97,3,0.0,5.9988,2013,December
